WOT-DATA,2
{{EN}},"Full tank names, original – like in the game."
{{RU}},"Полные названия танков, оригинал – как в игре."
china-Ch01_Type59,Type 59,#606
china-Ch01_Type59_Gold,Type 59 G,#606
china-Ch02_Type62,Type 62,#606
china-Ch03_WZ_111_A,WZ-111 Alpentiger,#606
china-Ch03_WZ-111,WZ-111,#606
china-Ch04_T34_1,T-34-1,#606
china-Ch04_T34_1_training,T-34-1,#606
china-Ch05_T34_2,T-34-2,#606
china-Ch06_Renault_NC31,Renault NC-31,#606
china-Ch06_Renault_NC31_bot,Renault NC-31,#606
china-Ch07_Vickers_MkE_Type_BT26,Vickers Mk. E Type B,#606
china-Ch08_Type97_Chi_Ha,Type 2597 Chi-Ha,#606
china-Ch08_Type97_Chi_Ha_bootcamp,Type 2597 Chi-Ha,#606
china-Ch09_M5,M5A1 Stuart,#606
china-Ch10_IS2,IS-2,#606
china-Ch11_110,110,#606
china-Ch11_110_IGR,110,#606
china-Ch12_111_1_2_3,WZ-111 model 1-4,#606
china-Ch14_T34_3,T-34-3,#606
china-Ch15_59_16,59-16,#606
china-Ch16_WZ_131,WZ-131,#606
china-Ch17_WZ131_1_WZ132,WZ-132,#606
china-Ch17_WZ131_1_WZ132_IGR,WZ-132,#606
china-Ch18_WZ-120,WZ-120,#606
china-Ch19_121,121,#606
china-Ch19_121_IGR,121,#606
china-Ch20_Type58,Type 58,#606
china-Ch21_T34,Type T-34,#606
china-Ch22_113,113,#606
china-Ch22_113_Beijing_Opera,113 Pekingoper,#606
china-Ch22_113P,113,#606
china-Ch23_112,112,#606
china-Ch23_112_FL,112 FL,#606
china-Ch24_Type64,Type 64,#606
china-Ch25_121_mod_1971B,121B,#606
china-Ch26_59_Patton,59-Patton,#606
china-Ch28_WZ_132A,WZ-132A,#606
china-Ch29_Type_62C_prot,WZ-132-1,#606
china-Ch30_T-26G_FT,T-26G FT,#606
china-Ch31_M3G_FT,M3G FT,#606
china-Ch32_SU-76G_FT,SU-76G FT,#606
china-Ch33_60G_FT,60G FT,#606
china-Ch34_WZ131G_FT,WZ-131G FT,#606
china-Ch35_T-34-2G_FT,T-34-2G FT,#606
china-Ch36_WZ111_1G_FT,WZ-111-1G FT,#606
china-Ch37_WZ111G_FT,WZ-111G FT,#606
china-Ch38_WZ113G_FT,WZ-113G FT,#606
china-Ch39_WZ120_1G_FT,WZ-120-1G FT,#606
china-Ch39_WZ120_1G_FT_FL,WZ-120-1G FT FL,#606
china-Ch40_WZ120G_FT,WZ-120G FT,#606
china-Ch41_WZ_111_5A,WZ-111 Modell 5A,#606
china-Ch41_WZ_111_5A_bob,WZ-111 Modell 5A BB,#606
china-Ch41_WZ_111_QL,WZ-111 Qilin,#606
china-Ch42_WalkerBulldog_M41D,M41D,#606
china-Ch43_WZ_122_2,122 TM,#606
czech-Cz01_Skoda_T40,Škoda T 40,#606
czech-Cz02_TVP_T50,Škoda T 50,#606
czech-Cz03_LT_vz35,LT vz. 35,#606
czech-Cz04_T50_51,TVP T 50/51,#606
czech-Cz05_T34_100,Konštrukta T-34/100,#606
czech-Cz06_Kolohousenka,Kolohousenka,#606
czech-Cz07_TVP_46,TVP VTU Koncept,#606
czech-Cz08_T_25,Škoda T 25,#606
czech-Cz09_T_24,Škoda T 24,#606
czech-Cz10_LT_vz38,LT vz. 38,#606
czech-Cz11_V_8_H,ST vz. 39,#606
czech-Cz13_T_27,Škoda T 27,#606
france-F01_RenaultFT,Renault FT,#606
france-F01_RenaultFT_bot,Renault FT,#606
france-F02_D1,D1,#606
france-F03_D2,D2,#606
france-F04_B1,B1,#606
france-F04_B1_bootcamp,B1,#606
france-F05_BDR_G1B,BDR G1 B,#606
france-F06_ARL_44,ARL 44,#606
france-F07_AMX_M4_1945,AMX M4 mle. 45,#606
france-F08_AMX_50_100,AMX 50 100,#606
france-F08_AMX_50_100_IGR,AMX 50 100,#606
france-F09_AMX_50_120,AMX 50 120,#606
france-F10_AMX_50B,AMX 50 B,#606
france-F10_AMX_50B_fallout,(R) AMX 50 B,#606
france-F100_Panhard_EBR_90,Panhard EBR 90,#606
france-F106_Panhard_EBR_75_Mle1954,Panhard EBR 75 (FL 10),#606
france-F107_Hotchkiss_EBR,Hotchkiss EBR,#606
france-F108_Panhard_EBR_105,Panhard EBR 105,#606
france-F109_AMD_Panhard_178B,Panhard AMD 178B,#606
france-F11_Renault_G1R,Renault G1,#606
france-F110_Lynx_6x6,Panhard AML Lynx 6x6,#606
france-F111_AM39_Gendron_Somua,AM 39 Gendron-Somua,#606
france-F112_M10_RBFM,M10 RBFM,#606
france-F113_Bretagne_Panther,Bretagne Panther,#606
france-F114_Projet_4_1,Char Futur 4,#606
france-F115_Lorraine_50t,Lorraine 50 t,#606
france-F116_Bat_Chatillon_Bourrasque,Bat.-Châtillon Bourrasque,#606
france-F12_Hotchkiss_H35,Hotchkiss H35,#606
france-F13_AMX38,AMX 38,#606
france-F14_AMX40,AMX 40,#606
france-F15_AMX_12t,AMX 12 t,#606
france-F16_AMX_13_75,AMX 13 75,#606
france-F17_AMX_13_90,AMX 13 90,#606
france-F17_AMX_13_90_IGR,AMX 13 90,#606
france-F18_Bat_Chatillon25t,Bat.-Châtillon 25 t,#606
france-F18_Bat_Chatillon25t_IGR,Bat.-Châtillon 25 t,#606
france-F19_Lorraine40t,Lorraine 40 t,#606
france-F20_RenaultBS,Renault FT 75 BS,#606
france-F21_Lorraine39_L_AM,Lorraine 39L AM,#606
france-F22_AMX_105AM,AMX 13 105 AM mle. 50,#606
france-F23_AMX_13F3AM,AMX 13 F3 AM,#606
france-F24_Lorraine155_50,Lorraine 155 mle. 50,#606
france-F25_Lorraine155_51,Lorraine 155 mle. 51,#606
france-F27_FCM_36Pak40,FCM 36 Pak 40,#606
france-F28_105_leFH18B2,105 leFH18B2,#606
france-F28_105_leFH18B2_IGR,105 leFH18B2,#606
france-F30_RenaultFT_AC,Renault FT AC,#606
france-F32_Somua_Sau_40,Somua SAu 40,#606
france-F33_S_35CA,S35 CA,#606
france-F33_S_35CA_IGR,S35 CA,#606
france-F34_ARL_V39,ARL V39,#606
france-F35_AMX_AC_Mle1946,AMX AC mle. 46,#606
france-F36_AMX_AC_Mle1948,AMX AC mle. 48,#606
france-F36_AMX_AC_Mle1948_IGR,AMX AC mle. 48,#606
france-F37_AMX50_Foch,AMX 50 Foch,#606
france-F38_Bat_Chatillon155_58,Bat.-Châtillon 155 58,#606
france-F42_AMR_35,AMR 35,#606
france-F43_AMC_35_SH,Arlequin,#606
france-F44_Somua_S35,Somua S35,#606
france-F49_RenaultR35,Renault R35,#606
france-F50_FCM36_20t,FCM 36,#606
france-F52_RenaultUE57,Renault UE 57,#606
france-F62_ELC_AMX,AMX ELC bis,#606
france-F62_ELC_AMX_IGR,ELC AMX,#606
france-F64_AMX_50Fosh_155,AMX 50 Foch (155),#606
france-F64_AMX_50Fosh_B,AMX 50 Foch B,#606
france-F65_FCM_50t,FCM 50 t,#606
france-F66_AMX_Ob_Am105,AMX 105 AM mle. 47,#606
france-F67_Bat_Chatillon155_55,Bat.-Châtillon 155 55,#606
france-F68_AMX_Chasseur_de_char_46,AMX Chasseur de chars,#606
france-F69_AMX13_57_100,AMX 13 57,#606
france-F69_AMX13_57_100_GrandFinal,AMX 13 57 GF,#606
france-F70_SARL42,SARL 42,#606
france-F71_AMX_30_prototype,AMX 30 1er prototype,#606
france-F72_AMX_30,AMX 30 B,#606
france-F73_M4A1_Revalorise,M4A1 Revalorisé,#606
france-F73_M4A1_Revalorise_FL,M4A1 Revalorisé FL,#606
france-F74_AMX_M4_1949,AMX M4 mle. 49,#606
france-F74_AMX_M4_1949_FL,AMX M4 mle. 49 FL,#606
france-F74_AMX_M4_1949_Liberte,AMX M4 mle. 49 Liberté,#606
france-F75_Char_de_25t,Bat.-Châtillon 25 t AP,#606
france-F81_Char_de_65t,AMX 65 t,#606
france-F82_AMX_M4_Mle1949_Ter,AMX M4 mle. 54,#606
france-F83_AMX_M4_Mle1949_Bis,AMX M4 mle. 51,#606
france-F84_Somua_SM,Somua SM,#606
france-F85_M4A1_FL10,M4A1 FL 10,#606
france-F87_Batignolles-Chatillon_12t,Bat.-Châtillon 12 t,#606
france-F88_AMX_13_105,AMX 13 105,#606
france-F89_Canon_dassaut_de_105,AMX Canon d'assaut 105,#606
france-F97_ELC_EVEN_90,ELC EVEN 90,#606
france-F97_ELC_EVEN_90_FL,ELC EVEN 90 FL,#606
germany-Env_Artillery,#germany_vehicles:Env_Artillery,#606
germany-G00_Bomber_SH,Feuerball,#606
germany-G02_Hummel,Hummel,#606
germany-G03_PzV_Panther,Panther,#606
germany-G03_PzV_Panther_bootcamp,Panther,#606
germany-G03_PzV_Panther_IGR,Panther,#606
germany-G03_PzV_Panther_training,Panther,#606
germany-G04_PzVI_Tiger_I,Tiger I,#606
germany-G04_PzVI_Tiger_I_IGR,Tiger I,#606
germany-G04_PzVI_Tiger_IA,Tiger I L/56,#606
germany-G05_StuG_40_AusfG,StuG III Ausf. G,#606
germany-G05_StuG_40_AusfG_IGR,StuG III Ausf. G,#606
germany-G06_PzII,Pz.Kpfw. II,#606
germany-G06_PzII_bot,Pz.Kpfw. II,#606
germany-G07_Pz35t,Pz.Kpfw. 35 (t),#606
germany-G08_Pz38t,Pz.Kpfw. 38 (t),#606
germany-G08_Pz38t_bootcamp,Pz.Kpfw. 38 (t),#606
germany-G09_Hetzer,Jagdpanzer 38(t) Hetzer,#606
germany-G10_PzIII_AusfJ,Pz.Kpfw. III Ausf. J,#606
germany-G10_PzIII_AusfJ_training,Pz.Kpfw. III Ausf. J,#606
germany-G100_Gtraktor_Krupp,Großtraktor - Krupp,#606
germany-G101_StuG_III,StuG III Ausf. B,#606
germany-G102_Pz_III,Pz.Kpfw. III Ausf. E,#606
germany-G102_Pz_III_bootcamp,Pz.Kpfw. III Ausf. E,#606
germany-G103_RU_251,Spähpanzer Ru 251,#606
germany-G104_Stug_IV,StuG IV,#606
germany-G105_T-55_NVA_DDR,T 55A,#606
germany-G106_PzKpfwPanther_AusfF,"Panther mit 8,8 cm L/71",#606
germany-G107_PzKpfwIII_AusfK,Pz.Kpfw. III Ausf. K,#606
germany-G108_PzKpfwII_AusfD,Pz.Kpfw. II Ausf. D,#606
germany-G109_Steyr_WT,Krupp-Steyr Waffenträger,#606
germany-G11_Bison_I,Sturmpanzer I Bison,#606
germany-G110_Typ_205,Mäuschen,#606
germany-G112_KanonenJagdPanzer,Kanonenjagdpanzer,#606
germany-G112_KanonenJagdPanzer_105,Kanonenjagdpanzer 105,#606
germany-G113_SP_I_C,Spähpanzer SP I C,#606
germany-G114_Rheinmetall_Skorpian,Rheinmetall Skorpion G,#606
germany-G114_Skorpian,Rheinmetall Skorpion,#606
germany-G115_Typ_205_4_Jun,VK 100.01 (P) Ausf. B,#606
germany-G115_Typ_205B,VK 100.01 (P),#606
germany-G116_Turan_III_prot,Turán III prototípus,#606
germany-G117_Toldi_III,43 M. Toldi III,#606
germany-G117_Toldi_III_bootcamp,43 M. Toldi III,#606
germany-G118_VK4503,VK 45.03,#606
germany-G119_Panzer58,Panzer 58,#606
germany-G119_Panzer58_BF,Schwarzpanzer 58,#606
germany-G119_Panzer58_FL,Panzer 58 FL,#606
germany-G119_Pz58_Mutz,Panzer 58 Mutz,#606
germany-G12_Ltraktor,Leichttraktor,#606
germany-G12_Ltraktor_bot,Leichttraktor,#606
germany-G120_M41_90,leKpz M 41 90 mm,#606
germany-G120_M41_90_GrandFinal,leKpz M 41 90 mm GF,#606
germany-G121_Grille_15_L63,Grille 15,#606
germany-G122_VK6501H,VK 65.01 (H),#606
germany-G125_Spz_57_Rh,Rheinmetall Panzerwagen,#606
germany-G126_HWK_12,HWK 12,#606
germany-G13_VK3001H,VK 30.01 (H),#606
germany-G134_PzKpfw_VII,Pz.Kpfw. VII,#606
germany-G134_PzKpfw_VII_bob,Pz.Kpfw. VII BB,#606
germany-G136_Tiger_131,Tiger 131,#606
germany-G137_PzVI_Tiger_217,Tiger 217,#606
germany-G138_VK168_02,VK 168.01 (P),#606
germany-G138_VK168_02_Mauerbrecher,VK 168.01 Mauerbrecher,#606
germany-G139_MKA,MKA,#606
germany-G140_HWK_30,HWK 30,#606
germany-G141_VK7501K,VK 75.01 (K),#606
germany-G142_M48RPz,M48A2 Räumpanzer,#606
germany-G143_E75_TS,E 75 TS,#606
germany-G144_Kpz_50t,Kampfpanzer 50 t,#606
germany-G15_VK3601H,VK 36.01 (H),#606
germany-G151_Pz_Sfl_IC,Pz.Sfl. IC,#606
germany-G16_PzVIB_Tiger_II,Tiger II,#606
germany-G16_PzVIB_Tiger_II_F,Tiger II (H),#606
germany-G16_PzVIB_Tiger_II_IGR,Tiger II,#606
germany-G16_PzVIB_Tiger_II_training,Tiger II,#606
germany-G17_JagdPzIV,Jagdpanzer IV,#606
germany-G18_JagdPanther,Jagdpanther,#606
germany-G19_Wespe,Wespe,#606
germany-G20_Marder_II,Marder II,#606
germany-G21_PanzerJager_I,Panzerjäger I,#606
germany-G21_PanzerJager_I_bootcamp,Panzerjäger I,#606
germany-G22_Sturmpanzer_II,Sturmpanzer II,#606
germany-G23_Grille,Grille,#606
germany-G24_VK3002DB,VK 30.02 (D),#606
germany-G24_VK3002DB_SH,Walküre,#606
germany-G25_PzII_Luchs,Pz.Kpfw. II Luchs,#606
germany-G26_VK1602,VK 16.02 Leopard,#606
germany-G27_VK3001P,VK 30.01 (P),#606
germany-G28_PzIII_IV,Pz.Kpfw. III/IV,#606
germany-G32_PzV_PzIV,Pz.Kpfw. V/IV,#606
germany-G32_PzV_PzIV_ausf_Alfa,Pz.Kpfw. V/IV Alpha,#606
germany-G32_PzV_PzIV_ausf_Alfa_CN,Pz. V Berge-Panther Alpha,#606
germany-G32_PzV_PzIV_CN,Pz.Kpfw. V Berge-Panther,#606
germany-G33_H39_captured,Pz.Kpfw. 38H 735 (f),#606
germany-G34_S35_captured,Pz.Kpfw. S35 739 (f),#606
germany-G35_B-1bis_captured,Pz.Kpfw. B2 740 (f),#606
germany-G36_PzII_J,Pz.Kpfw. II Ausf. J,#606
germany-G37_Ferdinand,Ferdinand,#606
germany-G37_Ferdinand_IGR,Ferdinand,#606
germany-G39_Marder_III,Marder 38T,#606
germany-G40_Nashorn,Nashorn,#606
germany-G41_DickerMax,Dicker Max,#606
germany-G42_Maus,Maus,#606
germany-G42_Maus_IGR,Maus,#606
germany-G43_Sturer_Emil,Sturer Emil,#606
germany-G44_JagdTiger,Jagdtiger,#606
germany-G44_JagdTigerH,Jagdtiger-Prototyp,#606
germany-G45_G_Tiger,G.W. Tiger,#606
germany-G46_T-25,Pz.Kpfw. T 25,#606
germany-G48_E-25,E 25,#606
germany-G48_E-25_IGR,E 25,#606
germany-G49_G_Panther,G.W. Panther,#606
germany-G50_T-15,Pz.Kpfw. T 15,#606
germany-G51_Lowe,Löwe,#606
germany-G51_Lowe_FL,Löwe FL,#606
germany-G52_Pz38_NA,Pz.Kpfw. 38 (t) n.A.,#606
germany-G53_PzI,Pz.Kpfw. I,#606
germany-G54_E-50,E 50,#606
germany-G55_E-75,E 75,#606
germany-G56_E-100,E 100,#606
germany-G57_PzVI_Tiger_P,Tiger (P),#606
germany-G58_VK4502P,VK 45.02 (P) Ausf. B,#606
germany-G58_VK4502P7,VK 45.02 (P) Ausf. B7,#606
germany-G61_G_E,G.W. E 100,#606
germany-G63_PzI_ausf_C,Pz.Kpfw. I Ausf. C,#606
germany-G64_Panther_II,Panther II,#606
germany-G64_Panther_II_IGR,Panther II,#606
germany-G65_JagdTiger_SdKfz_185,"8,8 cm Pak 43 Jagdtiger",#606
germany-G65_JagdTiger_SdKfz_185_IGR,"8,8 cm Pak 43 Jagdtiger",#606
germany-G66_VK2801,VK 28.01,#606
germany-G67_VK4502A,VK 45.02 (P) Ausf. A,#606
germany-G70_PzIV_Hydro,Pz.Kpfw. IV hydrostat.,#606
germany-G71_JagdPantherII,Jagdpanther II,#606
germany-G72_JagdPz_E100,Jagdpanzer E 100,#606
germany-G73_E50_Ausf_M,E 50 Ausf. M,#606
germany-G76_Pz_Sfl_IVc,Pz.Sfl. IVc,#606
germany-G77_PzIV_Schmalturm,Pz.Kpfw. IV Schmalturm,#606
germany-G78_Panther_M10,Panther/M10,#606
germany-G79_Pz_IV_AusfGH,Pz.Kpfw. IV,#606
germany-G80_Pz_IV_AusfD,Pz.Kpfw. IV Ausf. D,#606
germany-G80_Pz_IV_AusfD_bootcamp,Pz.Kpfw. IV Ausf. D,#606
germany-G81_Pz_IV_AusfH,Pz.Kpfw. IV Ausf. H,#606
germany-G82_Pz_II_AusfG,Pz.Kpfw. II Ausf. G,#606
germany-G83_Pz_IV_AusfA,Pz.Kpfw. IV Ausf. A,#606
germany-G85_Auf_Panther,Aufklärungspanzer Panther,#606
germany-G85_Aufklarungspanzer_V,Aufklärungspanzer V,#606
germany-G86_VK2001DB,VK 20.01 (D),#606
germany-G87_VK3002DB_V1,VK 30.01 (D),#606
germany-G88_Indien_Panzer,Indien-Panzer,#606
germany-G89_Leopard1,Leopard 1,#606
germany-G90_DW_II,Durchbruchswagen 2,#606
germany-G91_Pro_Ag_A,Leopard Prototyp A,#606
germany-G92_VK7201,VK 72.01 (K),#606
germany-G93_GW_Mk_VIe,G.Pz. Mk. VI (e),#606
germany-G94_GW_Tiger_P,G.W. Tiger (P),#606
germany-G95_Pz_Sfl_IVb,Pz.Sfl. IVb,#606
germany-G96_VK3002M,VK 30.02 (M),#606
germany-G97_Waffentrager_IV,Waffenträger auf Pz. IV,#606
germany-G98_Waffentrager_E100,Waffenträger auf E 100,#606
germany-G98_Waffentrager_E100_P,Waffenträger auf E 100 (P) Mod,#606
germany-G99_RhB_Waffentrager,Rhm.-Borsig Waffenträger,#606
italy-It03_M15_42,M15/42,#606
italy-It04_Fiat_3000,Fiat 3000,#606
italy-It05_Carro_L6_40,L6/40,#606
italy-It06_M14_41,M14/41,#606
italy-It07_P26_40,P26/40,#606
italy-It08_Progetto_M40_mod_65,Progetto M40 mod. 65,#606
italy-It08_Progetto_M40_mod_65_bob,Progetto M40 mod. 65 BB,#606
italy-It09_P43_ter,P.43 ter,#606
italy-It10_P43_bis,P.43 bis,#606
italy-It11_P43,P.43,#606
italy-It12_Prototipo_Standard_B,Prototipo Standard B,#606
italy-It13_Progetto_M35_mod_46,Progetto M35 mod. 46,#606
italy-It14_P44_Pantera,P.44 Pantera,#606
italy-It18_Progetto_C45_mod_71,Bisonte C45,#606
italy-It20_Carro_Combattimento_45t,Carro da Combattimento 45 t,#606
japan-J01_NC27,Renault Otsu,#606
japan-J01_NC27_bot,Renault Otsu,#606
japan-J02_Te_Ke,Type 97 Te-Ke,#606
japan-J03_Ha_Go,Type 95 Ha-Go,#606
japan-J04_Ke_Ni,Type 98 Ke-Ni,#606
japan-J04_Ke_Ni_bootcamp,Type 98 Ke-Ni,#606
japan-J05_Ke_Ni_B,Type 98 Ke-Ni Otsu,#606
japan-J06_Ke_Ho,Type 5 Ke-Ho,#606
japan-J07_Chi_Ha,Type 97 Chi-Ha,#606
japan-J08_Chi_Nu,Type 3 Chi-Nu,#606
japan-J09_Chi_He,Type 1 Chi-He,#606
japan-J10_Chi_To,Type 4 Chi-To,#606
japan-J11_Chi_Ri,Type 5 Chi-Ri,#606
japan-J11_Chi_Ri_IGR,Type 5 Chi-Ri,#606
japan-J12_Chi_Nu_Kai,Type 3 Chi-Nu Kai,#606
japan-J13_STA_1,STA-1,#606
japan-J13_STA_1_IGR,STA-1,#606
japan-J14_Type_61,Type 61,#606
japan-J15_Chi_Ni,Chi-Ni,#606
japan-J16_ST_B1,STB-1,#606
japan-J16_ST_B1_IGR,STB-1,#606
japan-J18_STA_2_3,STA-2,#606
japan-J19_Tiger_I_Jpn,Schwerer Panzer Nr. VI,#606
japan-J20_Type_2605,Type 5 Schwer,#606
japan-J21_Type_91,Type 91 Schwer,#606
japan-J22_Type_95,Type 95 Schwer,#606
japan-J22_Type_95_bootcamp,Type 95 Schwer,#606
japan-J23_Mi_To,O-I Experimentell,#606
japan-J24_Mi_To_130_tons,O-I,#606
japan-J25_Type_4,Type 4 Schwer,#606
japan-J26_Type_89,Type 89 I-Go/Chi-Ro,#606
japan-J27_O_I_120,O-Ho,#606
japan-J28_O_I_100,O-Ni,#606
japan-J29_Nameless,Nameless,#606
japan-J30_Edelweiss,Edelweiss,#606
poland-Pl01_TKS_20mm,TKS z n.k.m. 20 mm,#606
poland-Pl03_PzV_Poland,Pudel,#606
poland-Pl05_50TP_Tyszkiewicza,50TP Tyszkiewicza,#606
poland-Pl06_10TP,10TP,#606
poland-Pl07_14TP,14TP,#606
poland-Pl08_50TP_prototyp,50TP prototyp,#606
poland-Pl09_7TP,7TP,#606
poland-Pl10_40TP_Habicha,40TP Habicha,#606
poland-Pl11_45TP_Habicha,45TP Habicha,#606
poland-Pl12_25TP_KSUST_II,25TP KSUST II,#606
poland-Pl13_53TP_Markowskiego,53TP Markowskiego,#606
poland-Pl14_4TP,4TP,#606
poland-Pl15_60TP_Lewandowskiego,60TP Lewandowskiego,#606
poland-Pl16_T34_85_Rudy,T-34-85 Rudy,#606
poland-Pl17_DS_PZlnz,DS PZInż,#606
poland-Pl18_BUGI,B.U.G.I.,#606
poland-Pl19_CS_52_LIS,CS-52 LIS,#606
poland-Pl20_CS_44,CS-44,#606
poland-Pl21_CS_63,CS-63,#606
poland-Pl22_CS_59,CS-59,#606
poland-Pl23_CS_53,CS-53,#606
sweden-S01_Strv_74_A2,Strv m/42-57 Alt A.2,#606
sweden-S02_Strv_M42,Strv m/42,#606
sweden-S03_Strv_M38,Strv m/38,#606
sweden-S04_Lago_I,Lago,#606
sweden-S05_Strv_M21_29,Strv fm/21,#606
sweden-S06_Ikv_90_Typ_B_Bofors,Ikv 90 Typ B,#606
sweden-S07_Strv_74,Strv 74,#606
sweden-S08_Ikv_65_Alt_2,Ikv 65 Alt II,#606
sweden-S09_L_120_TD,Pvlvv fm/42,#606
sweden-S10_Strv_103_0_Series,Strv 103-0,#606
sweden-S11_Strv_103B,Strv 103B,#606
